"S.5th","R.5th","Time.to.Grad","Workspace","Prizes.Awards"
36,36,4,"100%","None"
47,11,5,"<100%","Inst"
11,12,6,"100%","Inst"
12,27,5.69,"100%","Inst"
19,31,5,"100%","Both"
9,9,4.5,"100%","Both"
8,4,4.9,"100%","Both"
7,30,5,"100%","Both"
10,7,4.9,"100%","Inst"
26,32,4.5,"100%","Inst"
28,49,5.6,"<100%","Both"
2,2,5,"100%","Inst"
2,7,5.8,"100%","Both"
4,24,6,"100%","Inst"
34,53,5,"100%","Inst"
21,24,5,"100%","Both"
3,16,4.4,"100%","Both"
48,61,6,"<100%","None"
18,18,3.5,"100%","Inst"
19,20,5.5,"100%","Both"
10,23,5.5,"100%","Both"
56,36,6,"<100%","Inst"
41,49,4.5,"100%","Both"
8,5,4.9,"100%","Both"
8,10,5.67,"100%","Both"
13,26,5,"100%","Both"
27,23,5.08,"<100%","Inst"
24,43,4,"100%","Both"
1,1,4.7,"100%","Inst"
37,59,6.5,"<100%","None"
5,31,5,"100%","Inst"
2,4,5.3,"100%","Both"
15,12,4.48,"100%","Inst"
11,9,4.33,"100%","Inst"
45,51,5,"100%","Inst"
31,48,5.2,"<100%","Both"
4,4,4.75,"100%","Inst"
29,24,4.3,"<100%","Prog"
12,12,5,"<100%","Both"
15,21,4.63,"100%","Both"
20,26,5.16,"100%","Both"
13,39,6.7,"100%","Both"
23,18,4.73,"100%","Both"
36,48,4,"<100%","Prog"
38,48,7,"<100%","Both"
3,4,7,"100%","Both"
14,32,5.7,"<100%","Both"
28,28,3.9,"<100%","Both"
30,19,6,"<100%","Both"
6,5,5,"100%","Both"
14,10,4.3,"100%","Both"
7,12,5,"100%","Prog"
20,17,5.5,"100%","Inst"
30,47,5,"100%","Both"
43,50,4,"100%","Both"
38,27,5,"100%","Inst"
10,2,5,"100%","Both"
3,5,5.67,"<100%","Inst"
35,31,4,"100%","Both"
51,49,5.57,"<100%","Both"
20,31,5.5,"100%","Both"
